clean_month,clean_hour,dimanche_ouvert,p_w_m2_mean,p_w_m2_std,p_w_m2_q20_norm,p_w_m2_q80_norm
Avril 2022,Lundi 0h,1,39.862673410671576,14.983337888906771,28.369386198873592,53.352270560099136
Avril 2022,Lundi 0h,0,39.862673410671576,14.983337888906771,28.369386198873592,53.352270560099136
Avril 2022,Lundi 1h,1,42.295185717975706,16.186121269899683,29.851129246714116,56.8531079261209
Avril 2022,Lundi 1h,0,42.295185717975706,16.186121269899683,29.851129246714116,56.8531079261209
Avril 2022,Lundi 2h,1,48.577957087350754,19.173988365020527,33.780875152280274,65.79428641570604
Avril 2022,Lundi 2h,0,48.577957087350754,19.173988365020527,33.780875152280274,65.79428641570604
Avril 2022,Lundi 3h,1,60.64320731911677,23.19996277316896,42.80758873213513,81.5098209649088
Avril 2022,Lundi 3h,0,60.64320731911677,23.19996277316896,42.80758873213513,81.5098209649088
Avril 2022,Lundi 4h,1,70.51287500133243,25.910788800527445,50.6953358088187,93.87044356638175
Avril 2022,Lundi 4h,0,70.51287500133243,25.910788800527445,50.6953358088187,93.87044356638175
Avril 2022,Lundi 5h,1,72.60952486434228,26.56748267158447,52.301075095449306,96.56494544133065
Avril 2022,Lundi 5h,0,72.60952486434228,26.56748267158447,52.301075095449306,96.56494544133065
Avril 2022,Lundi 6h,1,71.97437338694118,27.791075424543603,50.58464528268631,96.95765028310305
Avril 2022,Lundi 6h,0,71.97437338694118,27.791075424543603,50.58464528268631,96.95765028310305
Avril 2022,Lundi 7h,1,78.10996241148843,29.38541843837362,55.56672412408265,104.5645394798546
Avril 2022,Lundi 7h,0,78.10996241148843,29.38541843837362,55.56672412408265,104.5645394798546
Avril 2022,Lundi 8h,1,77.30021561689107,30.087508114833476,54.12021394209897,104.33612843223709
Avril 2022,Lundi 8h,0,77.30021561689107,30.087508114833476,54.12021394209897,104.33612843223709
Avril 2022,Lundi 9h,1,75.23019461884105,30.49367792128762,51.62307280605974,102.5720580776937
Avril 2022,Lundi 9h,0,75.23019461884105,30.49367792128762,51.62307280605974,102.5720580776937
Avril 2022,Lundi 10h,1,72.77047153588884,30.04153484061673,49.46407815862782,99.68144210912055
Avril 2022,Lundi 10h,0,72.77047153588884,30.04153484061673,49.46407815862782,99.68144210912055
Avril 2022,Lundi 11h,1,70.05890443598315,29.546281300041453,47.08127787750107,96.49756952559922
Avril 2022,Lundi 11h,0,70.05890443598315,29.546281300041453,47.08127787750107,96.49756952559922
Avril 2022,Lundi 12h,1,68.54072228782063,28.9102113154645,46.057390937775835,94.41002910036839
