code,p_w_m2_ete_jour,p_w_m2_ete_nuit,p_w_m2_hiver_jour,p_w_m2_hiver_nuit,p_w_m2_intersaison_jour,p_w_m2_intersaison_nuit
101,106.2102466962804,52.75899473712024,87.33141413421103,59.615578071159646,74.74752202282879,49.87455243148976
103,77.10495408853126,51.52837882836859,80.0331815629205,41.119393184039204,63.97927558206453,41.1319397752452
104,129.24324492744253,66.44232040755409,101.85520799247612,67.97886745365453,87.35922928067826,55.83523161083572
105,86.98648894431619,31.85594898024888,65.34879954005997,25.514315040720298,55.335432049347084,27.70977315959046
107,141.59718817679882,63.52811192363783,102.18515069394384,64.73427422365286,76.91235492635904,49.5778806160539
108,70.44199422980898,32.568338779940035,54.569920459871334,30.668080857064233,50.56307591241338,28.568174537406286
109,94.3945791634956,33.68711226523896,43.62735712857412,22.54666131694879,44.83554690652969,25.565289436233876
111,128.60683179874897,73.34050867879478,83.36920723903701,50.76484939196821,84.27989516606083,55.721509545780386
116,92.31734812499474,48.872486367139295,89.74691732189605,49.871448335923475,71.8542611075108,48.614830552591215
117,76.84408198531631,42.82576483367979,64.72989261115096,36.05509925079209,56.354786241084604,35.958747121598435
118,83.56301459590303,40.832008666130385,78.29742011180846,53.3037752300395,66.08304654953707,37.63695990605932
119,59.10761331187011,26.8599869433939,43.772279280355086,22.60798219034234,39.58454912535434,19.712668391557315
124,34.82894877481551,41.259048717538,46.46867860020652,38.78271033120711,21.7242403847304,32.29802143515214
128,62.609202305552,30.834266206175467,58.98963963945846,31.964898790104296,46.21411732454757,25.789524170422904
130,137.77451299657156,70.82456195203697,102.18461278172819,66.86193957797778,93.18292792842126,67.56245729564785
133,78.18955323821083,45.56590831040001,53.347750465749826,37.061827785613886,55.055324242196185,40.32988853347649
136,50.8016294711334,43.10221999961218,66.32890691571976,58.6835573221301,37.13719259970805,34.88175065374371
138,126.45432082612773,69.64147802771811,100.72503698738109,55.66476451277836,91.33568672202745,52.80187730015378
139,54.45968439053484,23.939681621671195,47.320159003514505,21.563079966972307,45.50520111001295,21.826211983182333
140,105.7770102616957,37.9415552886478,82.72107155816117,38.894252611704694,71.08180008722071,29.67392374303513
141,69.68123251035006,27.048399596421373,58.20973952438023,30.588306938138974,53.81957595258817,30.765970814817933
146,12.68145757588362,38.461224734626185,50.52974486973627,27.161292113281768,43.527245721104485,31.501101110946752
150,125.3536534634581,58.64005887331528,90.86389111852371,51.79412762403603,81.30908845990277,51.81425250920816
152,100.51071381908409,48.2340584269101,80.55783323922356,46.94437236918968,72.94285168858605,46.31539444495914
153,62.61033634790044,26.052511958380414,52.65588792423563,24.02370102520377,45.643677998498866,23.14004587215648
155,79.93101149760585,37.08840280815285,58.90059014336828,27.928893690453005,55.80750031393802,29.056875012121207
158,96.97876807610942,45.876095851532114,89.6645584414843,55.941693346710665,90.16546587019324,64.33335363218774
161,77.33062546027985,39.6883336375096,72.95755504602485,43.26182172011105,71.34811758104566,48.44989475919857
162,104.99321502991752,35.92440596696288,101.67494121066585,41.8179321594917,78.37117726057278,41.17960074322109
163,128.13587929672622,52.93375868169909,123.53088988406631,45.777842628222636,110.04356535371116,47.940503899635104
165,108.70202045858595,68.65484153643067,119.85597011641843,105.7580736897003,93.44262932397743,69.53169259453912
